Level,School,Region,Regional_Wages,Program,Residents,Wages,Sample Cohort,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Computers and Math,43.5,84013,16,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Business and Finance,62.8,71181,207,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Protective Services,0,0,0,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Health,69.4,77092,55,,
Community,Rockland County,Hudson Valley,"36,329",Agriculture,0,0,0,,
Community,Rockland County,Hudson Valley,"36,329",Art,0,0,0,,
Community,Rockland County,Hudson Valley,"36,329",Technical trades,0,0,0,,
Community,Rockland County,Hudson Valley,"36,329",Communications and Media,0,0,0,,
Community,Rockland County,Hudson Valley,"36,329",Law and Public Service,0,0,0,,
Community,Rockland County,Hudson Valley,"36,329",Engineering,0,0,0,,
Community,Rockland County,Hudson Valley,"36,329",Social Services,0,0,0,,
Community,Rockland County,Hudson Valley,"36,329",Hospitality,0,0,0,,
Community,Rockland County,Hudson Valley,"36,329",Education,0,0,0,,
Community,Rockland County,Hudson Valley,"36,329",Computers and Math,55.9,73198,16,,
